CLASS	# of mem	std of age	std p-value
hsa-mir-4315	2	0.00	1.4140e-01
hsa-mir-1324	2	0.00	1.3130e-01
hsa-mir-3199	2	0.00	1.3630e-01
hsa-mir-1972	2	1.50	6.7800e-02
hsa-mir-378	3	4.24	4.1000e-02
hsa-mir-3119	2	0.50	1.6410e-01
hsa-mir-3118	6	1.12	1.7000e-03
hsa-mir-208	2	0.50	1.5990e-01
hsa-mir-374	3	0.47	6.6300e-02
hsa-mir-376	4	0.43	1.2000e-02
hsa-mir-124	3	0.94	5.6000e-02
hsa-mir-125	3	1.41	2.4700e-02
hsa-mir-128	2	0.00	1.4040e-01
hsa-mir-129	2	1.50	6.5300e-02
hsa-mir-519	7	1.05	3.0000e-03
hsa-mir-1255	4	0.43	1.2000e-02
hsa-mir-3913	2	0.00	1.2910e-01
hsa-mir-3910	2	0.00	1.3410e-01
hsa-mir-33	3	0.47	6.6400e-02
hsa-mir-30	6	1.46	2.5000e-03
hsa-mir-34	3	1.70	1.1900e-02
hsa-mir-642	3	1.41	2.3000e-02
hsa-mir-3202	2	1.00	1.2920e-01
hsa-mir-1233	2	1.00	1.3050e-01
hsa-mir-487	2	0.00	1.3300e-01
hsa-mir-320	9	2.90	1.0000e-03
hsa-mir-216	2	1.00	1.2000e-01
hsa-mir-365	2	2.00	3.1200e-02
hsa-mir-218	3	1.25	4.0900e-02
hsa-mir-219	2	0.00	1.3680e-01
hsa-mir-1	2	0.00	1.3750e-01
hsa-mir-3689	2	0.50	1.6650e-01
hsa-mir-7	4	2.77	1.5900e-02
hsa-mir-200	3	0.94	5.7600e-02
hsa-mir-9	4	2.60	6.5000e-03
hsa-mir-199	3	1.41	2.3300e-02
hsa-mir-1244	3	0.00	2.3800e-02
hsa-mir-194	2	0.50	1.6010e-01
hsa-mir-196	3	0.94	6.3100e-02
hsa-mir-190	2	2.00	2.9000e-02
hsa-mir-193	3	1.63	6.3000e-03
hsa-mir-1184	3	3.77	3.2400e-02
hsa-mir-1185	2	3.00	7.0100e-02
hsa-mir-3130	2	0.50	1.6420e-01
hsa-mir-3116	2	0.50	1.5970e-01
hsa-mir-103	4	6.00	1.0000e-03
hsa-mir-101	3	1.41	2.7000e-02
hsa-mir-106	2	0.00	1.4260e-01
hsa-mir-105	2	0.00	1.3210e-01
hsa-mir-551	2	0.00	1.4100e-01
hsa-mir-550	5	1.47	3.1000e-03
hsa-mir-181	5	1.79	1.0000e-04
hsa-mir-3926	2	0.50	1.6330e-01
hsa-mir-544	2	4.00	8.1100e-02
hsa-mir-301	2	2.00	3.1600e-02
hsa-mir-302	6	3.34	4.2000e-03
hsa-mir-3622	2	0.50	1.6480e-01
hsa-mir-1285	3	0.47	6.0700e-02
hsa-let-7	11	1.65	0.0000e+00
hsa-mir-3150	2	0.50	1.5910e-01
hsa-mir-3156	3	0.94	5.9400e-02
hsa-mir-1283	3	1.25	4.5300e-02
hsa-mir-1282	2	4.00	8.8800e-02
hsa-mir-3158	2	0.50	1.6590e-01
hsa-mir-1289	2	0.50	1.6190e-01
hsa-mir-4283	2	0.00	1.3230e-01
hsa-mir-3914	2	1.50	6.5200e-02
hsa-mir-10	2	1.50	7.1600e-02
hsa-mir-15	2	0.00	1.3640e-01
